,0
123,100250.9017159212
124,100017.84647167129
125,100056.69480027122
126,99512.89923035477
127,99745.95447460467
128,99901.32463743797
129,100056.69480027122
130,100483.95696017107
131,100095.5315530879
132,100212.05338732124
133,100561.63046580447
134,100561.63046580447
135,100212.05338732123
136,98503.01632350498
137,98075.75416360515
138,97959.2323293718
139,97803.86216653854
140,97687.34033230522
141,97803.86216653854
142,97803.86216653854
143,97493.12184087197
144,97726.1770851219
145,97803.86216653853
146,97570.80692228861
147,97881.54724795515
148,97726.1770851219
149,97570.80692228861
150,97648.49200370527
151,97570.80692228861
152,97687.34033230522
153,97726.18866090517
154,98309.28457076517
155,98387.03146441278
156,99825.32003440862
157,100680.52427953831
158,101030.37950845557
159,101224.74095007763
160,101496.84928534729
161,101885.58375358525
162,101730.08996629005
163,101457.9816310204
164,101652.34307264248
165,101652.34307264248
166,101263.62018939837
167,101613.4754183156
168,101457.9816310204
169,101341.35549805211
170,102935.14944033702
171,103051.76398831146
172,102585.29421141975
173,102429.80042412455
174,102274.3066368294
175,101691.21072696937
176,101807.83685993766
177,102429.80042412455
178,100991.50026913486
179,100913.7649604811
180,100525.03049224311
181,102468.66807845143
182,102663.02952007347
183,102196.55974318179
184,102079.94519520728
185,101924.45140791213
186,101341.3554980521
187,100874.88572116036
188,101535.72852466801
189,102196.55974318179
190,102118.81284953417
191,102002.19830155972
192,101691.21072696934
193,101146.99405643003
194,101069.24716278246
195,100913.76496048112
196,100525.03049224312
197,100408.41594426868
198,100058.56071535144
199,100525.03049224315
200,101924.45140791217
201,101807.83685993768
202,102041.06595588662
203,102663.02952007353
204,102859.78657371327
205,102977.83142422803
206,102702.38562163599
207,101954.73696281221
208,101915.39258833604
209,101954.73696281221
210,101876.03648677359
211,101521.89020814291
212,101718.6472617826
213,101994.09306437464
214,101836.6921122974
215,102112.13791488942
216,102466.28419352013
217,102112.13791488946
218,102151.22290657919
219,102346.61292611984
220,102033.97957781266
221,102151.2229065792
222,102307.52793443012
223,101955.82124073585
224,101525.95620996483
225,101916.74789534879
226,102033.97957781266
227,102581.07629104758
228,101994.9062324256
229,101604.11454704161
230,101330.56619042416
231,101291.4928450371
232,101096.10282549642
233,101057.01783380669
234,100080.05608980072
235,99923.73941564716
236,100744.39613180215
237,100666.23779472534
238,101057.01783380668
239,101017.94448841961
240,100470.83612888206
241,100666.23779472534
242,100822.5428225763
243,100548.99446595884
244,100040.98274441362
245,100040.98274441362
246,100001.8977527239
247,99376.6427024122
248,99181.25268287152
249,99650.19105902968
250,99415.72769410192
251,99415.72769410192
252,99493.87438487608
253,98868.61933456438
254,98712.31430671345
255,98946.77767164119
256,98868.6193345644
257,98829.5459891773
258,98751.38765210051
259,98751.38765210051
260,99298.48436533543
261,98946.77767164119
262,99101.99093354736
263,99063.1818360241
264,98907.98013821137
265,98830.37350725828
266,98287.13865468008
267,97976.71213086773
268,97937.91459743789
269,97588.6905401957
270,97472.27481171936
271,97937.91459743792
272,98093.11629525064
273,98558.7560809692
274,98713.96934287538
275,98908.59217000472
276,99803.8664552586
277,99803.8664552586
278,99064.29507193768
279,98324.72368861681
280,98363.64361381312
281,98480.41498997596
282,98285.79216284666
283,98480.41498997595
284,99258.917899067
285,99219.98637329685
286,98908.82475403605
287,99103.29497033537
288,98831.03434922088
289,99025.50456552015
290,99297.76518663463
291,99297.76518663463
292,99025.50456552015
293,98947.72575218235
294,98986.61515885123
295,98558.77372810639
296,98442.0939166223
297,98480.98332329119
298,98831.03434922086
299,98869.93534736715
300,98908.82475403605
