Date,Close,bollinger_upper_band,bollinger_lower_band,bollinger_signal,bb_position
2017-02-23,17.149999618530273,15.236910157505083,13.957089609798384,-1.0,0
2017-02-24,17.43000030517578,15.645807770454649,13.850192042625185,-1.0,0
2017-02-27,17.93000030517578,16.060820142871027,13.775179727429265,-1.0,0
2017-02-28,17.31999969482422,16.317086524920406,13.805913333935793,-1.0,0
2017-03-01,17.219999313354492,16.530778059247112,13.852221742388629,-1.0,0
2017-03-02,16.989999771118164,16.704780181262446,13.941219631817388,-1.0,0
2017-03-03,16.889999389648438,16.854099307725143,14.044900478651812,-1.0,0
2017-03-06,16.860000610351562,16.988502777909865,14.168497096205124,0.0,0
2017-03-07,16.760000228881836,17.101428360726775,14.291571574423372,0.0,0
2017-03-08,16.829999923706055,17.209918687528752,14.426081278138971,0.0,0
2017-03-09,17.06999969482422,17.32876473321002,14.567235175237245,0.0,0
2017-03-10,16.90999984741211,17.422515388795667,14.691484550169179,0.0,0
2017-03-13,16.93000030517578,17.507308700855255,14.83869130295944,0.0,0
2017-03-14,16.770000457763672,17.566447593862975,15.006552455728091,0.0,0
2017-03-15,16.950000762939453,17.61829301038252,15.216707123131888,0.0,0
2017-03-16,17.209999084472656,17.666611228505367,15.458388771494633,0.0,0
2017-03-17,17.280000686645508,17.64851854993685,15.815481484395425,0.0,0
2017-03-20,17.239999771118164,17.621565698904455,16.119434285836753,0.0,0
2017-03-21,16.510000228881836,17.509877441995897,16.419122554189407,0.0,0
2017-03-22,16.40999984741211,17.37026606048669,16.695733924254522,1.0,1
2017-03-23,16.610000610351562,17.35482357083162,16.65717651309172,1.0,1
2017-03-24,16.59000015258789,17.30964046991667,16.618359598747883,1.0,1
2017-03-27,17.25,17.20100189708685,16.65899814106012,-1.0,0
2017-03-28,17.229999542236328,17.190362766896165,16.66063725599202,-1.0,0
2017-03-29,17.219999313354492,17.190362766896165,16.66063725599202,-1.0,0
2017-03-30,17.31999969482422,17.220994262332958,16.663005752925834,-1.0,0
2017-03-31,17.280000686645508,17.250131455785496,16.672868689172997,-1.0,0
2017-04-03,17.030000686645508,17.25798752349738,16.68201262909051,0.0,0
2017-04-04,17.040000915527344,17.268020012406883,16.699980208845556,0.0,0
2017-04-05,16.75,17.26685224784715,16.693147981034688,0.0,0
2017-04-06,17.0,17.26262246785558,16.69037779154384,0.0,0
2017-04-07,16.690000534057617,17.258460876442797,16.67253945162117,0.0,0
2017-04-10,16.989999771118164,17.261385384777178,16.675614889881025,0.0,0
2017-04-11,16.920000076293945,17.265435024503216,16.686565212008016,0.0,0
2017-04-12,17.299999237060547,17.291727546963415,16.695272536959926,-1.0,0
2017-04-13,16.920000076293945,17.273169635251556,16.684830547853913,0.0,0
2017-04-17,17.079999923706055,17.25570348361209,16.68229662319943,0.0,0
2017-04-18,16.979999542236328,17.235574758154605,16.676425325768733,0.0,0
2017-04-19,17.200000762939453,17.25426769950189,16.726732437827213,0.0,0
2017-04-20,17.709999084472656,17.32869673279117,16.782303328243987,-1.0,0
2017-04-21,17.489999771118164,17.367994101947854,16.831005875163964,-1.0,0
2017-04-24,17.850000381469727,17.452143466648376,16.872856533351626,-1.0,0
2017-04-25,18.219999313354492,17.58499525356511,16.837004677770338,-1.0,0
2017-04-26,18.079999923706055,17.675041762826538,16.831958206655884,-1.0,0
2017-04-27,18.229999542236328,17.7784900831786,16.82950990919201,-1.0,0
2017-04-28,18.239999771118164,17.868662023192574,16.83133797680743,-1.0,0
2017-05-01,18.610000610351562,18.00612307989866,16.826876912471942,-1.0,0
2017-05-02,18.809999465942383,18.16402666039326,16.846973209907034,-1.0,0
2017-05-03,18.280000686645508,18.23815449847483,16.89684534893728,-1.0,0
2017-05-04,19.899999618530273,18.546484358012904,16.903515451252233,-1.0,0
2017-05-05,19.780000686645508,18.785465607778317,16.942534270151373,-1.0,0
2017-05-08,19.559999465942383,18.95948329144525,17.055516479672914,-1.0,0
2017-05-09,19.799999237060547,19.14805560174694,17.147944115965466,-1.0,0
2017-05-10,19.950000762939453,19.332693635482027,17.266306150894923,-1.0,0
2017-05-11,19.709999084472656,19.470874166110466,17.3691256050077,-1.0,0
2017-05-12,20.079999923706055,19.629032429482127,17.52696732637725,-1.0,0
2017-05-15,20.25,19.78876197099977,17.684237792489004,-1.0,0
2017-05-16,20.34000015258789,19.92943364711672,17.879566177407202,-1.0,0
2017-05-17,19.559999465942383,19.97409619806518,18.07090349675904,0.0,0
2017-05-18,19.68000030517578,20.03062042028934,18.211379396605196,0.0,0
2017-05-19,19.90999984741211,20.08149598519622,18.402503839327707,0.0,0
2017-05-22,20.950000762939453,20.251998348290048,18.542001514380853,-1.0,0
2017-05-23,21.639999389648438,20.51252208267335,18.623477787626946,-1.0,0
2017-05-24,21.920000076293945,20.77387215073861,18.74612773482047,-1.0,0
2017-05-25,22.329999923706055,21.064145533057307,18.86585439064875,-1.0,0
2017-05-26,22.329999923706055,21.31049429223187,19.028505646732977,-1.0,0
2017-05-30,22.739999771118164,21.591212258373314,19.16078759666819,-1.0,0
2017-05-31,22.989999771118164,21.873922315624117,19.296077569934962,-1.0,0
2017-06-01,23.229999542236328,22.13073702345431,19.534262747663853,-1.0,0
2017-06-02,23.200000762939453,22.37807909159489,19.61692079396419,-1.0,0
2017-06-05,23.389999389648438,22.625395389466615,19.730604366392757,-1.0,0
2017-06-06,24.209999084472656,22.954556215241745,19.86644350247066,-1.0,0
2017-06-07,24.290000915527344,23.257017836949313,20.012982048609768,-1.0,0
2017-06-08,24.780000686645508,23.591346278725776,20.161653599203913,-1.0,0
2017-06-09,23.030000686645508,23.696187746568757,20.388812291578216,0.0,0
2017-06-12,23.600000381469727,23.839316267375263,20.597683816548074,0.0,0
2017-06-13,23.479999542236328,23.95461113591879,20.80538890222818,0.0,0
2017-06-14,23.469999313354492,24.052124869698083,21.02087508452555,0.0,0
2017-06-15,23.989999771118164,24.13290895985493,21.383091024886284,0.0,0
2017-06-16,23.559999465942383,24.129274235745243,21.77472566507263,0.0,0
2017-06-19,24.200000762939453,24.132148295571756,22.200851696798846,-1.0,0
2017-06-20,23.850000381469727,24.133911711629715,22.489088242593915,0.0,0
2017-06-21,24.15999984741211,24.17945254001413,22.69554745998587,0.0,0
2017-06-22,24.280000686645508,24.22780553381603,22.883194527219125,-1.0,0
2017-06-23,24.170000076293945,24.267108525395184,23.02789155089876,0.0,0
2017-06-26,23.93000030517578,24.266035041678286,23.188965072762635,0.0,0
2017-06-27,23.31999969482422,24.253038512982652,23.259961593828873,0.0,0
2017-06-28,24.299999237060547,24.29808726687221,23.345912786533553,-1.0,0
2017-06-29,23.399999618530273,24.296880094322617,23.364119966712536,0.0,0
2017-06-30,23.459999084472656,24.294758921289933,23.392240971898545,0.0,0
2017-07-03,22.829999923706055,24.31153149573433,23.319468450859908,1.0,1
2017-07-05,23.760000228881836,24.280324837266594,23.305675223768564,0.0,1
2017-07-06,23.219999313354492,24.228123077644646,23.250876823173222,1.0,1
2017-07-07,23.59000015258789,24.103345122705974,23.256654724706138,0.0,1
2017-07-10,23.940000534057617,24.123448492224167,23.327551339929155,0.0,1
2017-07-11,25.440000534057617,24.368259233238344,23.266740614173766,-1.0,0
2017-07-12,26.209999084472656,24.714916293466946,23.193083508168794,-1.0,0
2017-07-13,25.979999542236328,24.95478315352712,23.204216670996804,-1.0,0
2017-07-14,26.329999923706055,25.205388163843004,23.187611675939714,-1.0,0
2017-07-17,26.190000534057617,25.417720383522713,23.238279563071522,-1.0,0
2017-07-18,26.59000015258789,25.647872188462564,23.247127697096516,-1.0,0
2017-07-19,26.360000610351562,25.837133213691512,23.308866694755753,-1.0,0
2017-07-20,26.389999389648438,26.007274089931773,23.361725772739124,-1.0,0
2017-07-21,26.850000381469727,26.21676226021063,23.40923757194269,-1.0,0
2017-07-24,26.75,26.40102132562172,23.482978498902206,-1.0,0
2017-07-25,26.889999389648438,26.59050162885071,23.58949810412048,-1.0,0
2017-07-26,27.309999465942383,26.807429503636424,23.771570206446587,-1.0,0
2017-07-27,25.920000076293945,26.876021259113593,23.864978534892757,0.0,0
2017-07-28,26.200000762939453,26.951962969838746,24.06903693860852,0.0,0
2017-07-31,26.350000381469727,27.02307778421472,24.286922253932254,0.0,0
2017-08-01,26.809999465942383,27.07060608266727,24.637393909703334,0.0,0
2017-08-02,26.459999084472656,27.106807407608688,24.871192470321002,0.0,0
2017-08-03,25.219999313354492,27.019884484344914,25.158115393584772,0.0,0
2017-08-04,25.209999084472656,26.926056046193867,25.413943724924298,1.0,1
2017-08-07,25.68000030517578,26.817855421872014,25.696144326357963,1.0,1
2017-08-08,26.020000457763672,26.816564652280114,25.755435088320475,0.0,1
2017-08-09,25.59000015258789,26.807882338324923,25.702117509087188,1.0,1
2017-08-10,24.649999618530273,26.846241522256054,25.53075833278545,1.0,1
2017-08-11,24.81999969482422,26.83697366185182,25.3890261703015,1.0,1
2017-08-14,25.200000762939453,26.8152436929363,25.311756162105205,1.0,1
2017-08-15,24.829999923706055,26.76445975162676,25.186540080526562,1.0,1
2017-08-16,24.989999771118164,26.719928933522482,25.0940708147075,1.0,1
2017-08-17,24.540000915527344,26.673523029567537,24.955476871250337,1.0,1
2017-08-18,24.829999923706055,26.563064875857247,24.863934979184254,1.0,1
2017-08-21,24.459999084472656,26.45580478433659,24.742194979152178,1.0,1
2017-08-22,25.34000015258789,26.323748550126364,24.719251289656352,0.0,1
2017-08-23,25.479999542236328,26.11302728305048,24.74697256436163,0.0,1
2017-08-24,25.65999984741211,26.092644668969648,24.74135515555428,0.0,1
2017-08-25,24.989999771118164,26.012221826231904,24.70077789910989,0.0,1
2017-08-28,24.90999984741211,25.903416269503182,24.66558340243285,0.0,1
2017-08-29,25.040000915527344,25.701448085806465,24.690551731088068,0.0,1
2017-08-30,25.760000228881836,25.593251224500325,24.728748706835123,-1.0,0
2017-08-31,26.110000610351562,25.687136388737905,24.72386367229725,-1.0,0
2017-09-01,25.93000030517578,25.749668027337627,24.73333215576784,-1.0,0
2017-09-05,25.770000457763672,25.758634346893327,24.733365851470932,-1.0,0
2017-09-06,26.049999237060547,25.762556326787198,24.73244374950675,-1.0,0
2017-09-07,26.299999237060547,25.845214595020046,24.720785389721165,-1.0,0
2017-09-08,26.530000686645508,25.983249125499924,24.77075096605281,-1.0,0
2017-09-11,27.56999969482422,26.27897764712842,24.75002244442431,-1.0,0
2017-09-12,27.270000457763672,26.4724842090895,24.763515851945655,-1.0,0
2017-09-13,27.489999771118164,26.680130343990076,24.821869701786294,-1.0,0
2017-09-14,28.639999389648438,27.04571569227319,24.821284315356202,-1.0,0
2017-09-15,28.5,27.33159762729436,24.931402288782298,-1.0,0
2017-09-18,28.690000534057617,27.611509916171688,25.037490060940126,-1.0,0
2017-09-19,28.559999465942383,27.83035176619529,25.2286482490635,-1.0,0
2017-09-20,28.469999313354492,28.023965301749495,25.348034629585957,-1.0,0
2017-09-21,28.399999618530273,28.190596601014388,25.473403337950455,-1.0,0
2017-09-22,28.75,28.380049895405932,25.5929500588177,-1.0,0
2017-09-25,27.450000762939453,28.423871715355826,25.79512833804994,0.0,0
