Date,Close,trend_aroon_up,trend_aroon_down,aroon_signal,aroon_position
2018-07-16,66.94999694824219,32.0,52.0,0,1
2018-07-17,68.33000183105469,100.0,48.0,0,1
2018-07-18,68.29000091552734,96.0,44.0,0,1
2018-07-19,70.31999969482422,100.0,40.0,0,1
2018-07-20,70.41000366210938,100.0,36.0,0,1
2018-07-23,71.5999984741211,100.0,32.0,0,1
2018-07-24,69.36000061035156,96.0,28.000000000000004,0,1
2018-07-25,72.52999877929688,100.0,24.0,0,1
2018-07-26,71.98999786376953,96.0,20.0,0,1
2018-07-27,69.8499984741211,92.0,16.0,0,1
2018-07-30,65.62000274658203,88.0,12.0,0,1
2018-07-31,64.6500015258789,84.0,8.0,0,1
2018-08-01,66.86000061035156,80.0,4.0,0,1
2018-08-02,72.6500015258789,100.0,4.0,0,1
2018-08-03,68.36000061035156,96.0,4.0,0,1
2018-08-06,70.91999816894531,92.0,8.0,0,1
2018-08-07,71.0,88.0,4.0,0,1
2018-08-08,70.81999969482422,84.0,4.0,0,1
2018-08-09,69.37999725341797,80.0,72.0,0,1
2018-08-10,70.5999984741211,76.0,68.0,0,1
2018-08-13,72.37000274658203,72.0,64.0,0,1
2018-08-14,74.97000122070312,100.0,60.0,0,1
2018-08-15,72.23999786376953,96.0,56.00000000000001,0,1
2018-08-16,72.76000213623047,92.0,52.0,0,1
2018-08-17,72.9000015258789,88.0,48.0,0,1
2018-08-20,74.26000213623047,84.0,44.0,0,1
2018-08-21,75.19000244140625,100.0,40.0,0,1
2018-08-22,76.44000244140625,100.0,36.0,0,1
2018-08-23,77.12000274658203,100.0,32.0,0,1
2018-08-24,78.18000030517578,100.0,28.000000000000004,0,1
2018-08-27,78.25,100.0,24.0,0,1
2018-08-28,80.80000305175781,100.0,20.0,0,1
2018-08-29,85.69999694824219,100.0,16.0,0,1
2018-08-30,87.76000213623047,100.0,12.0,0,1
2018-08-31,88.63999938964844,100.0,8.0,0,1
2018-09-04,91.25,100.0,4.0,0,1
2018-09-05,87.19999694824219,96.0,4.0,0,1
2018-09-06,88.54000091552734,92.0,8.0,0,1
2018-09-07,89.97000122070312,88.0,4.0,0,1
2018-09-10,89.38999938964844,84.0,16.0,0,1
2018-09-11,92.27999877929688,100.0,12.0,0,1
2018-09-12,90.44000244140625,96.0,8.0,0,1
2018-09-13,90.22000122070312,92.0,4.0,0,1
2018-09-14,90.81999969482422,88.0,4.0,0,1
