Date,Close,ao,ao_signal,ao_position
2020-01-08,67.5999984741211,-1.945118129954615,0,0
2020-01-09,67.93000030517578,-1.0814126631792789,0,0
2020-01-10,67.98999786376953,-0.20741298899932303,0,0
2020-01-13,68.66000366210938,0.8702930001651481,1,1
2020-01-14,68.16999816894531,1.8128817614387032,0,1
2020-01-15,70.36000061035156,2.4096762937657985,0,1
2020-01-16,69.5199966430664,2.8051173939424388,0,1
2020-01-17,69.37999725341797,3.09855829126694,0,1
2020-01-21,68.30999755859375,3.218440111945654,0,1
2020-01-22,68.69000244140625,3.2207340464872374,0,1
2020-01-23,69.29000091552734,3.1060285456040333,0,1
2020-01-24,71.13999938964844,3.078528841804058,0,1
2020-01-27,71.05000305175781,3.3006178687600567,0,1
2020-01-28,74.80000305175781,3.9588248308967167,0,1
2020-01-29,76.16000366210938,5.120707769954905,0,1
2020-01-30,76.0999984741211,6.264001644358913,0,1
2020-01-31,74.69000244140625,7.017648696899414,0,1
2020-02-03,79.80000305175781,7.9111783420338355,0,1
2020-02-04,80.9000015258789,8.95441347009995,0,1
2020-02-05,78.25,9.364295308730178,0,1
2020-02-06,78.51000213623047,9.451354127771722,0,1
2020-02-07,78.86000061035156,9.717001365212823,0,1
2020-02-10,80.16999816894531,9.73953015944538,0,1
2020-02-11,79.87999725341797,9.205852901234351,0,1
2020-02-12,80.0,8.78694075416115,0,1
2020-02-13,80.98999786376953,8.70655798070571,0,1
2020-02-14,81.86000061035156,8.741910485660327,0,1
2020-02-18,82.41999816894531,8.730881062675934,0,1
2020-02-19,85.23999786376953,8.873351747849412,0,1
2020-02-20,85.69999694824219,9.294351588978486,0,1
2020-02-21,83.48999786376953,9.484939642513496,0,1
2020-02-24,80.20999908447266,9.027733679378741,0,1
2020-02-25,77.05000305175781,7.859704567404364,0,1
2020-02-26,76.58999633789062,6.068293089025161,0,1
2020-02-27,79.30999755859375,4.215616540347824,0,1
2020-02-28,83.33000183105469,3.1619405185475102,0,1
2020-03-02,80.66999816894531,2.778999620325422,0,1
2020-03-03,78.83999633789062,2.6678224900189633,0,1
2020-03-04,79.26000213623047,2.8010283301858436,0,1
2020-03-05,76.31999969482422,2.518293784646417,0,1
2020-03-06,73.08999633789062,1.0551464080810575,0,1
2020-03-09,65.7300033569336,-1.4616772371179962,-1,0
2020-03-10,67.23999786376953,-4.046264895270852,0,0
2020-03-11,62.439998626708984,-6.780617983200983,0,0
2020-03-12,53.56999969482422,-10.414530024808997,0,0
2020-03-13,57.77000045776367,-13.793735492930686,0,0
2020-03-16,41.27000045776367,-17.13717652489158,0,0
2020-03-17,44.72999954223633,-20.954029498380777,0,0
2020-03-18,39.5,-24.51770555832806,0,0
2020-03-19,40.0,-27.098705359066237,0,0
2020-03-20,38.09000015258789,-29.354587700787704,0,0
2020-03-23,40.0099983215332,-30.325205488765945,0,0
2020-03-24,46.310001373291016,-29.199381918065683,0,0
2020-03-25,52.38999938964844,-26.863411196540383,0,0
2020-03-26,56.029998779296875,-23.260528968362244,0,0
2020-03-27,53.34000015258789,-19.426646681392896,0,0
2020-03-30,55.0,-15.657205357271081,0,0
2020-03-31,52.380001068115234,-12.776646479438327,0,0
2020-04-01,46.810001373291016,-11.835146387885594,0,0
2020-04-02,45.880001068115234,-12.403734263251806,0,0
2020-04-03,43.720001220703125,-13.303528101303996,0,0
2020-04-06,50.41999816894531,-13.692057598338408,0,0
2020-04-07,50.310001373291016,-13.372793096654554,0,0
2020-04-08,57.040000915527344,-11.621646163042854,0,0
2020-04-09,59.209999084472656,-8.487117071712717,0,0
2020-04-13,59.41999816894531,-4.921323462093582,0,0
2020-04-14,62.40999984741211,-1.6312941270716053,0,0
2020-04-15,61.380001068115234,1.1136765760533933,1,1
2020-04-16,57.31999969482422,2.795735146017634,0,1
2020-04-17,61.09000015258789,3.662176300497613,0,1
2020-04-20,61.060001373291016,4.629617881774905,0,1
2020-04-21,57.400001525878906,4.896294717227711,0,1
2020-04-22,60.959999084472656,4.937706420000858,0,1
2020-04-23,61.81999969482422,5.828059207691865,0,1
2020-04-24,62.0099983215332,6.746235466003419,0,1
2020-04-27,63.54999923706055,7.282235100690059,0,1
2020-04-28,61.75,8.079028881297397,0,1
2020-04-29,65.7699966430664,9.026793188207286,0,1
2020-04-30,65.13999938964844,9.620675300149358,0,1
2020-05-01,63.0,9.804616625168741,0,1
2020-05-04,63.689998626708984,9.510999118580536,0,1
2020-05-05,66.69000244140625,9.366352227154898,0,1
2020-05-06,68.0999984741211,9.349823222440833,0,1
2020-05-07,74.62000274658203,9.601117840935203,0,1
2020-05-08,76.05000305175781,10.786765457602108,0,1
2020-05-11,74.9000015258789,12.14144243352554,0,1
2020-05-12,75.20999908447266,13.176354138991407,0,1
2020-05-13,73.79000091552734,13.857648176305432,0,1
2020-05-14,78.19999694824219,14.1439125509823,0,1
2020-05-15,80.26000213623047,14.201000112645758,0,1
2020-05-18,76.62999725341797,14.081029016831344,0,1
2020-05-19,79.25,13.944793443118826,0,1
2020-05-20,82.04000091552734,14.260558262993314,0,1
2020-05-21,81.48999786376953,14.372793702518237,0,1
2020-05-22,81.48999786376953,13.745675816255456,0,1
2020-05-26,80.79000091552734,13.282616940666657,0,1
2020-05-27,81.0199966430664,12.977381706237793,0,1
2020-05-28,79.62000274658203,12.128705125696527,0,1
2020-05-29,81.08000183105469,11.192029167624085,0,1
2020-06-01,82.72000122070312,10.609765108893896,0,1
2020-06-02,88.0,10.734794717676508,0,1
2020-06-03,91.97000122070312,11.724618608811326,0,1
2020-06-04,87.72000122070312,12.732707124597894,0,1
2020-06-05,89.93000030517578,13.556530324150543,0,1
2020-06-08,89.62000274658203,14.287412654652314,0,1
2020-06-09,89.52999877929688,14.237912705365346,0,1
2020-06-10,91.91000366210938,13.457265741684864,0,1
2020-06-11,86.08999633789062,12.476206656063312,0,1
2020-06-12,86.72000122070312,11.271912148419545,0,1
2020-06-15,91.0,10.321853087930108,0,1
2020-06-16,94.73999786376953,10.092029212502865,0,1
2020-06-17,97.02999877929688,10.180175691492423,0,1
