Date,Close,RSI,rsi_signal,rsi_position
2020-01-14,68.16999816894531,61.26483947349938,0,1
2020-01-15,70.36000061035156,67.34236901820694,0,1
2020-01-16,69.5199966430664,63.243544349931845,0,1
2020-01-17,69.37999725341797,62.56010822509438,0,1
2020-01-21,68.30999755859375,57.45017439835925,0,1
2020-01-22,68.69000244140625,58.73915421613913,0,1
2020-01-23,69.29000091552734,60.76039747664811,0,1
2020-01-24,71.13999938964844,66.25020921385504,0,1
2020-01-27,71.05000305175781,65.76816516183737,0,1
2020-01-28,74.80000305175781,74.19397570497422,-1,0
2020-01-29,76.16000366210938,76.45722161864316,0,0
2020-01-30,76.0999984741211,76.13993080260028,0,0
2020-01-31,74.69000244140625,68.90395790086757,0,0
2020-02-03,79.80000305175781,77.31727737932617,0,0
2020-02-04,80.9000015258789,78.65600954177533,0,0
2020-02-05,78.25,68.21135841048854,0,0
2020-02-06,78.51000213623047,68.65120213097724,0,0
2020-02-07,78.86000061035156,69.26764966510581,0,0
2020-02-10,80.16999816894531,71.52465815740567,0,0
2020-02-11,79.87999725341797,70.29391141850869,0,0
2020-02-12,80.0,70.5199681024189,0,0
2020-02-13,80.98999786376953,72.38684493879573,0,0
2020-02-14,81.86000061035156,73.94818245626502,0,0
2020-02-18,82.41999816894531,74.93077151903117,0,0
2020-02-19,85.23999786376953,79.18774257930721,0,0
2020-02-20,85.69999694824219,79.79058804053345,0,0
2020-02-21,83.48999786376953,69.39113272297713,0,0
2020-02-24,80.20999908447266,57.42790949649724,0,0
2020-02-25,77.05000305175781,48.71429758920388,0,0
2020-02-26,76.58999633789062,47.582459235670676,0,0
2020-02-27,79.30999755859375,54.338167814518144,0,0
2020-02-28,83.33000183105469,62.110557693315656,0,0
2020-03-02,80.66999816894531,55.39182557354259,0,0
2020-03-03,78.83999633789062,51.281847254385184,0,0
2020-03-04,79.26000213623047,52.15921287746573,0,0
2020-03-05,76.31999969482422,45.924564865886076,0,0
2020-03-06,73.08999633789062,40.23447396625219,0,0
2020-03-09,65.7300033569336,30.853669440162733,1,1
2020-03-10,67.23999786376953,34.241163406892,0,1
2020-03-11,62.439998626708984,29.32333628605143,0,1
2020-03-12,53.56999969482422,22.805173427012264,0,1
2020-03-13,57.77000045776367,30.664380175588192,0,1
2020-03-16,41.27000045776367,21.432612179441733,0,1
2020-03-17,44.72999954223633,26.434151231138102,0,1
2020-03-18,39.5,23.952076411105764,0,1
2020-03-19,40.0,24.68021094695682,0,1
2020-03-20,38.09000015258789,23.744927746149344,0,1
2020-03-23,40.0099983215332,26.74999429809779,0,1
2020-03-24,46.310001373291016,35.703576084631194,0,1
2020-03-25,52.38999938964844,42.951012951925264,0,1
2020-03-26,56.029998779296875,46.816108965491324,0,1
2020-03-27,53.34000015258789,44.420943303455516,0,1
2020-03-30,55.0,46.24850262097271,0,1
2020-03-31,52.380001068115234,43.80047197573294,0,1
2020-04-01,46.810001373291016,39.066142832228365,0,1
2020-04-02,45.880001068115234,38.32135408365735,0,1
2020-04-03,43.720001220703125,36.57714827212168,0,1
2020-04-06,50.41999816894531,44.947429540646795,0,1
2020-04-07,50.310001373291016,44.842794519172365,0,1
2020-04-08,57.040000915527344,52.178107524718015,0,1
2020-04-09,59.209999084472656,54.289000103447464,0,1
2020-04-13,59.41999816894531,54.49831952606738,0,1
2020-04-14,62.40999984741211,57.483592709610065,0,1
2020-04-15,61.380001068115234,56.11773106960941,0,1
2020-04-16,57.31999969482422,50.97607146668215,0,1
2020-04-17,61.09000015258789,55.090776168808105,0,1
2020-04-20,61.060001373291016,55.05118082990084,0,1
2020-04-21,57.400001525878906,50.30106178613703,0,1
2020-04-22,60.959999084472656,54.42069777376537,0,1
2020-04-23,61.81999969482422,55.3828576165103,0,1
2020-04-24,62.0099983215332,55.60582530280052,0,1
2020-04-27,63.54999923706055,57.46140052061803,0,1
2020-04-28,61.75,54.58932203978785,0,1
2020-04-29,65.7699966430664,59.46252843917617,0,1
2020-04-30,65.13999938964844,58.40473103395353,0,1
2020-05-01,63.0,54.836225645810195,0,1
2020-05-04,63.689998626708984,55.77450104619039,0,1
2020-05-05,66.69000244140625,59.69513120995737,0,1
2020-05-06,68.0999984741211,61.425978760965556,0,1
2020-05-07,74.62000274658203,68.22184288663415,0,1
2020-05-08,76.05000305175781,69.49137962730333,0,1
2020-05-11,74.9000015258789,67.16745297970904,0,1
2020-05-12,75.20999908447266,67.48313128746207,0,1
2020-05-13,73.79000091552734,64.42733414309721,0,1
2020-05-14,78.19999694824219,69.10615442422225,0,1
2020-05-15,80.26000213623047,71.02341834727628,-1,0
2020-05-18,76.62999725341797,63.540297616745,0,0
2020-05-19,79.25,66.30016477913635,0,0
2020-05-20,82.04000091552734,68.99192943409989,0,0
2020-05-21,81.48999786376953,67.84152551966775,0,0
2020-05-22,81.48999786376953,67.84152551966775,0,0
2020-05-26,80.79000091552734,66.21189740807253,0,0
2020-05-27,81.0199966430664,66.49666414504003,0,0
2020-05-28,79.62000274658203,63.01520072934837,0,0
2020-05-29,81.08000183105469,65.06911668731925,0,0
2020-06-01,82.72000122070312,67.26802632500417,0,0
2020-06-02,88.0,73.1321769092477,0,0
2020-06-03,91.97000122070312,76.5360649708888,0,0
2020-06-04,87.72000122070312,66.7820090159901,0,0
2020-06-05,89.93000030517578,68.9948052502194,0,0
2020-06-08,89.62000274658203,68.30744100180843,0,0
2020-06-09,89.52999877929688,68.09532379541854,0,0
2020-06-10,91.91000366210938,70.68748410719823,0,0
2020-06-11,86.08999633789062,58.228716161733495,0,0
2020-06-12,86.72000122070312,59.069690357001114,0,0
2020-06-15,91.0,64.32452467734925,0,0
2020-06-16,94.73999786376953,68.17010270105551,0,0
2020-06-17,97.02999877929688,70.2823978812211,0,0
2020-06-18,98.2699966430664,71.38956651353237,0,0
2020-06-19,97.9800033569336,70.72592985942174,0,0
2020-06-22,104.22000122070312,75.91435035227276,0,0
2020-06-23,104.75,76.29858928276269,0,0
2020-06-24,100.87999725341797,67.7939651738237,0,0
2020-06-25,104.77999877929688,71.26948816058791,0,0
2020-06-26,104.30000305175781,70.26446532192662,0,0
2020-06-29,103.68000030517578,68.91266586684193,0,0
2020-06-30,104.94000244140625,70.16872667220791,0,0
2020-07-01,115.9000015258789,78.35941087971575,0,0
2020-07-02,113.38999938964844,73.38969318434181,0,0
2020-07-06,118.97000122070312,76.89756172388867,0,0
2020-07-07,125.5999984741211,80.23198139259571,0,0
2020-07-08,133.35000610351562,83.27142951942692,0,0
2020-07-09,129.38999938964844,76.77561832945122,0,0
2020-07-10,128.0500030517578,74.65345095400315,0,0
2020-07-13,118.6500015258789,61.75745968412581,0,0
2020-07-14,121.23999786376953,63.622113503004975,0,0
2020-07-15,122.19999694824219,64.31661608787635,0,0
2020-07-16,119.94999694824219,61.359849309628814,0,0
2020-07-17,120.7300033569336,62.011841599021324,0,0
2020-07-20,128.38999938964844,67.76432612158507,0,0
2020-07-21,126.98999786376953,65.80305373073153,0,0
2020-07-22,129.17999267578125,67.39287589616858,0,0
2020-07-23,122.93000030517578,58.96740263231135,0,0
2020-07-24,121.41000366210938,57.097807485258514,0,0
2020-07-27,125.75,60.90886314764769,0,0
2020-07-28,123.51000213623047,58.042980302334236,0,0
2020-07-29,128.5500030517578,62.3369690407261,0,0
