Date,Close,trend_aroon_up,trend_aroon_down,aroon_signal,aroon_position,macd,signal,macd_signal,macd_position,RSI,rsi_signal,rsi_position
2020-01-10,67.98999786376953,100.0,68.0,0,0,0.3013102011449149,-0.2126903285151129,0,1,61.77699787966186,0,0
2020-01-13,68.66000366210938,100.0,64.0,0,0,0.54130773149204,-0.0618907165136823,0,1,63.72889479771269,0,0
2020-01-14,68.16999816894531,96.0,60.0,0,0,0.6840824782467365,0.0873039224384014,0,1,61.26483947349938,0,0
2020-01-15,70.36000061035156,100.0,56.00000000000001,0,0,0.962848272559924,0.2624127924627059,0,1,67.34236901820694,0,0
2020-01-16,69.5199966430664,96.0,52.0,0,0,1.103273028291838,0.4305848396285323,0,1,63.243544349931845,0,0
2020-01-17,69.37999725341797,92.0,48.0,0,0,1.1895514693258775,0.5823781655680014,0,1,62.56010822509438,0,0
2020-01-21,68.30999755859375,88.0,44.0,0,0,1.1582362953999166,0.6975497915343845,0,1,57.45017439835925,0,0
2020-01-22,68.69000244140625,84.0,40.0,0,0,1.150816120777435,0.7882030573829946,0,1,58.73915421613913,0,0
2020-01-23,69.29000091552734,80.0,36.0,0,0,1.1797510061651764,0.8665126471394309,0,1,60.76039747664811,0,0
2020-01-24,71.13999938964844,100.0,32.0,0,0,1.3365545581092275,0.9605210293333905,0,1,66.25020921385504,0,0
2020-01-27,71.05000305175781,96.0,28.000000000000004,1,1,1.4369957577993515,1.0558159750265828,0,1,65.76816516183737,0,0
2020-01-28,74.80000305175781,100.0,24.0,0,1,1.7984582845332255,1.2043444369279113,0,1,74.19397570497422,0,0
2020-01-29,76.16000366210938,100.0,20.0,0,1,2.169650246936442,1.3974055989296177,0,1,76.45722161864316,0,0
2020-01-30,76.0999984741211,96.0,16.0,0,1,2.430958062917824,1.6041160917272588,0,1,76.13993080260028,0,0
2020-01-31,74.69000244140625,92.0,12.0,0,1,2.4955048669839077,1.7823938467785887,0,1,68.90395790086757,0,0
2020-02-03,79.80000305175781,100.0,8.0,0,1,2.9252722992918336,2.010969537281238,0,1,77.31727737932617,0,0
2020-02-04,80.9000015258789,100.0,4.0,0,1,3.3163974045992437,2.272055110744839,0,1,78.65600954177533,0,0
2020-02-05,78.25,96.0,4.0,0,1,3.3736446171819523,2.492373012032262,0,1,68.21135841048854,0,0
2020-02-06,78.51000213623047,92.0,12.0,0,1,3.4007912405607783,2.6740566577379656,0,1,68.65120213097724,0,0
2020-02-07,78.86000061035156,88.0,8.0,0,1,3.411224613046045,2.8214902487995817,0,1,69.26764966510581,0,0
2020-02-10,80.16999816894531,84.0,4.0,0,1,3.485025782908977,2.954197355621461,0,1,71.52465815740567,0,0
2020-02-11,79.87999725341797,80.0,4.0,0,1,3.4799978425838987,3.059357453013949,0,1,70.29391141850869,0,0
2020-02-12,80.0,76.0,4.0,0,1,3.445973346699475,3.1366806317510543,0,1,70.5199681024189,0,0
2020-02-13,80.98999786376953,100.0,4.0,0,1,3.4590198151625344,3.20114846843335,0,1,72.38684493879573,0,0
2020-02-14,81.86000061035156,100.0,4.0,0,1,3.4992243065328665,3.260763636053253,0,1,73.94818245626502,0,0
2020-02-18,82.41999816894531,100.0,8.0,0,1,3.5355185217503475,3.3157146131926725,0,1,74.93077151903117,0,0
2020-02-19,85.23999786376953,100.0,4.0,0,1,3.748620591701581,3.4022958088944546,0,1,79.18774257930721,0,0
2020-02-20,85.69999694824219,100.0,16.0,0,1,3.90955666359622,3.503747979834808,0,1,79.79058804053345,0,0
2020-02-21,83.48999786376953,96.0,12.0,0,1,3.814796603058909,3.5659577044796285,0,1,69.39113272297713,0,0
2020-02-24,80.20999908447266,92.0,8.0,0,1,3.4354286005509067,3.5398518836938844,-1,0,57.42790949649724,0,0
2020-02-25,77.05000305175781,88.0,4.0,0,1,2.8469733184770547,3.401276170650519,0,0,48.71429758920388,0,0
2020-02-26,76.58999633789062,84.0,4.0,0,1,2.316793022657976,3.18437954105201,0,0,47.58245923567068,0,0
2020-02-27,79.30999755859375,80.0,4.0,0,1,2.091987554677388,2.965901143777086,0,0,54.338167814518144,0,0
2020-02-28,83.33000183105469,76.0,8.0,0,1,2.2127017020150817,2.8152612554246854,0,0,62.110557693315656,0,0
2020-03-02,80.66999816894531,72.0,4.0,0,1,2.069868315037155,2.66618266734718,0,0,55.39182557354259,0,0
2020-03-03,78.83999633789062,68.0,16.0,0,1,1.7883905203117791,2.4906242379401,0,0,51.281847254385184,0,0
2020-03-04,79.26000213623047,64.0,12.0,0,1,1.580983701858159,2.308696130723712,0,0,52.15921287746573,0,0
2020-03-05,76.31999969482422,60.0,8.0,0,1,1.1659384647027622,2.080144597519522,0,0,45.92456486588608,0,0
2020-03-06,73.08999633789062,56.00000000000001,100.0,0,1,0.5698094388603465,1.778077565787687,0,0,40.23447396625219,0,0
2020-03-09,65.7300033569336,52.0,100.0,0,1,-0.4908587187718609,1.3242903088757776,0,0,30.853669440162733,0,0
2020-03-10,67.23999786376953,48.0,96.0,0,1,-1.1958173007728874,0.8202687869460447,0,0,34.241163406892,0,0
2020-03-11,62.43999862670898,44.0,100.0,0,1,-2.117413652581689,0.2327322990404979,0,0,29.32333628605143,1,1
2020-03-12,53.56999969482422,40.0,100.0,0,1,-3.522910268621203,-0.5183962144918424,0,0,22.805173427012264,0,1
2020-03-13,57.77000045776367,36.0,96.0,0,1,-4.248892909572987,-1.2644955535080715,0,0,30.664380175588192,0,1
2020-03-16,41.27000045776367,32.0,100.0,0,1,-6.085501612203885,-2.2286967652472343,0,0,21.432612179441733,0,1
2020-03-17,44.72999954223633,28.000000000000004,96.0,-1,0,-7.1790782857350735,-3.2187730693448025,0,0,26.434151231138102,0,1
2020-03-18,39.5,24.0,100.0,0,0,-8.37126420955488,-4.249271297386818,0,0,23.952076411105764,0,1
2020-03-19,40.0,20.0,96.0,0,0,-9.170027948051263,-5.233422627519707,0,0,24.68021094695682,0,1
2020-03-20,38.09000015258789,16.0,100.0,0,0,-9.843702911076448,-6.155478684231055,0,0,23.744927746149344,0,1
2020-03-23,40.0099983215332,12.0,96.0,0,0,-10.1061697328917,-6.9456168939631855,0,0,26.74999429809779,0,1
2020-03-24,46.310001373291016,8.0,92.0,0,0,-9.694071760294564,-7.495307867229461,0,0,35.703576084631194,0,1
2020-03-25,52.38999938964844,4.0,88.0,0,0,-8.775715139316219,-7.751389321646813,0,0,42.951012951925264,0,1
2020-03-26,56.02999877929688,4.0,84.0,0,0,-7.665826494767877,-7.734276756271026,1,1,46.81610896549133,0,1
2020-03-27,53.34000015258789,20.0,80.0,0,0,-6.923482558351893,-7.572117916687199,0,1,44.42094330345552,0,1
2020-03-30,55.0,16.0,76.0,0,0,-6.130552334775423,-7.283804800304845,0,1,46.24850262097271,0,1
2020-03-31,52.380001068115234,12.0,72.0,0,0,-5.648449626143346,-6.956733765472546,0,1,43.80047197573294,0,1
2020-04-01,46.810001373291016,8.0,68.0,0,0,-5.650694492458683,-6.695525910869773,0,1,39.066142832228365,0,1
2020-04-02,45.880001068115234,4.0,64.0,0,0,-5.662245970554999,-6.488869922806819,0,1,38.32135408365735,0,1
2020-04-03,43.720001220703125,4.0,60.0,0,0,-5.7790769344347765,-6.34691132513241,0,1,36.57714827212168,0,1
2020-04-06,50.41999816894531,8.0,56.00000000000001,0,0,-5.270280047763606,-6.13158506965865,0,1,44.9474295406468,0,1
2020-04-07,50.310001373291016,4.0,52.0,0,0,-4.820364510021996,-5.869340957731319,0,1,44.842794519172365,0,1
2020-04-08,57.040000915527344,4.0,48.0,0,0,-3.876067592353479,-5.470686284655751,0,1,52.178107524718015,0,1
2020-04-09,59.209999084472656,4.0,44.0,0,0,-2.918956847456826,-4.960340397215966,0,1,54.28900010344746,0,1
2020-04-13,59.41999816894531,8.0,40.0,0,0,-2.1190672275091345,-4.3920857632746,0,1,54.49831952606738,0,1
2020-04-14,62.40999984741211,4.0,36.0,0,0,-1.2297055141395603,-3.759609713447592,0,1,57.48359270961007,0,1
2020-04-15,61.380001068115234,4.0,32.0,0,0,-0.6010635556983033,-3.1279004818977345,0,1,56.11773106960941,0,1
2020-04-16,57.31999969482422,92.0,28.000000000000004,1,1,-0.4255628310772508,-2.587432951733638,0,1,50.97607146668215,0,1
2020-04-17,61.09000015258789,88.0,24.0,0,1,0.0175282327759731,-2.066440714831716,0,1,55.090776168808105,0,1
2020-04-20,61.060001373291016,84.0,20.0,0,1,0.3620865342238986,-1.5807352650205928,0,1,55.05118082990084,0,1
2020-04-21,57.400001525878906,80.0,16.0,0,1,0.3359474773399711,-1.1973987165484803,0,1,50.30106178613703,0,1
2020-04-22,60.959999084472656,76.0,12.0,0,1,0.5956281072208398,-0.8387933517946163,0,1,54.42069777376537,0,1
2020-04-23,61.81999969482422,72.0,8.0,0,1,0.8608978447655744,-0.4988551124825782,0,1,55.3828576165103,0,1
2020-04-24,62.0099983215332,68.0,4.0,0,1,1.0740760441775097,-0.1842688811505607,0,1,55.60582530280052,0,1
2020-04-27,63.54999923706055,100.0,4.0,0,1,1.3517048940246283,0.1229258738844771,0,1,57.46140052061803,0,1
2020-04-28,61.75,96.0,36.0,0,1,1.410226647569253,0.3803860286214323,0,1,54.58932203978785,0,1
2020-04-29,65.7699966430664,100.0,32.0,0,1,1.760689558225529,0.6564467345422518,0,1,59.46252843917617,0,1
